Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
MARUTI,EQ,6268.85,6274.8,6305.0,6230.0,6241.25,6247.8,6268.99,373105,233899058860000.0,45238,204494,0.5481
MARUTI,EQ,6247.8,6263.9,6263.9,6126.7,6149.4,6154.5,6170.16,415372,256291302055000.03,55591,175656,0.4229
MARUTI,EQ,6154.5,6155.0,6175.0,6066.9,6070.6,6077.95,6112.54,386820,236445209794999.97,50276,216743,0.5603
MARUTI,EQ,6077.95,6070.6,6137.5,6021.0,6122.0,6115.55,6100.27,342286,208803769025000.0,45316,130889,0.3824
MARUTI,EQ,6115.55,6120.0,6234.35,6120.0,6126.0,6137.15,6185.69,453391,280453631225000.0,43700,201735,0.4449
MARUTI,EQ,6137.15,6131.9,6222.35,6113.8,6206.0,6196.95,6167.82,366504,226052960519999.97,54250,184760,0.5041
MARUTI,EQ,6196.95,6200.0,6303.15,6188.0,6255.0,6273.5,6255.28,466934,292080066245000.0,48658,226381,0.48479999999999995
MARUTI,EQ,6273.5,6283.9,6295.05,6177.0,6181.95,6185.8,6223.73,294827,183492420630000.0,27790,114999,0.3901
MARUTI,EQ,6185.8,6223.2,6335.0,6200.0,6304.85,6318.35,6280.19,426893,268097103015000.0,49820,193574,0.4534
MARUTI,EQ,6318.35,6327.7,6350.0,6282.5,6330.35,6337.2,6322.24,384281,242951707419999.97,51267,202802,0.5277000000000001
MARUTI,EQ,6337.2,6335.0,6424.75,6311.0,6395.45,6406.3,6390.89,540500,345427511050000.0,58174,205721,0.38060000000000005
MARUTI,EQ,6406.3,6439.0,6450.0,6320.35,6355.0,6374.05,6399.44,1087684,696056802070000.0,78321,243289,0.2237
MARUTI,EQ,6374.05,6410.0,6589.8,6390.55,6511.0,6524.85,6512.12,949573,618373192205000.0,78498,272535,0.287
MARUTI,EQ,6524.85,6676.0,6730.0,6618.0,6690.0,6705.5,6674.49,888539,593054297855000.0,83017,322973,0.36350000000000005
